L	a	b
61,2591	22,8777	16,4446
56,7663	17,3762	17,1745
54,3333	13,6341	21,8450
52,4330	12,0803	21,5118
60,0466	9,2640	20,1674
56,7233	12,4159	22,1413
51,5798	12,0032	14,0834
58,8624	11,5019	20,5544
60,3423	13,0816	19,6580
55,1045	14,1260	20,6072
63,7819	16,2858	16,7703
59,0280	16,6502	20,7534
66,3345	7,4660	17,6242
64,2580	9,7155	18,6279
68,3706	6,3081	17,4565
64,5250	9,9482	15,9172
59,4663	13,5094	13,7556
66,0942	11,5182	15,6548
65,0414	13,8594	12,6448
56,9725	14,7044	16,9141
62,7072	19,9623	15,6317
63,2516	16,1591	15,5492
56,3398	10,1841	20,8516
60,9649	8,3377	21,3107
62,8519	7,1333	18,8836
60,6603	9,4717	19,4327
52,1926	13,0031	16,1190
55,9393	13,7667	17,4459
59,0299	14,1249	17,9258
55,8498	10,8554	19,5542
58,8445	16,6920	14,0719
56,8039	15,6890	17,2916
59,3641	9,0846	21,0726
60,3053	9,5733	22,0252
63,2615	7,6332	20,8144
57,2525	12,6267	20,8757
53,1021	14,7192	16,5886
57,5341	13,4850	19,5907
60,7249	12,9269	16,7207
56,4734	14,9450	20,2122
63,4370	16,7694	14,6192
53,5908	15,1944	17,1107
64,1255	7,7384	15,5130
68,2858	6,3893	16,0443
69,0301	4,8426	14,3860
62,5924	10,2546	19,0147
59,2434	15,1280	15,4746
64,6824	11,5979	18,3448
59,8275	15,8257	15,7299
56,5152	11,5226	18,1260
65,1076	17,9595	18,5286
59,1489	18,9210	17,8604
57,9483	11,6334	21,9216
55,2712	10,6275	20,9933
59,5591	7,7130	18,8892
56,4254	11,1749	22,5073
56,2604	9,9346	16,5995
56,1797	12,1371	20,8357
58,4681	16,6396	14,9807
53,9377	12,1912	21,4389
61,7180	18,0776	16,6349
56,8902	13,7589	17,1114
64,6495	7,8367	18,6706
59,4530	11,3901	21,8053
65,6884	8,3752	19,0843
59,9933	12,8073	18,6932
60,4751	14,0441	14,8761
64,0932	10,5438	16,8018
61,8780	13,1971	14,6978
56,5392	17,3478	17,1231
59,4855	21,1179	17,0128
59,0680	14,6366	18,2339
65,4705	6,3937	17,1618
62,0507	7,9185	20,7744
